[Disease]
OMIM:101000	NF2
HP:0002650	0.6216	   
HP:0000377	0.5405	   
HP:0000023	0.5135	   
HP:0001363	0.4864	   
HP:0000486	0.4594	   
HP:0000508	0.4324	   
HP:0000327	0.4324	   
HP:0001537	0.3513	   
HP:0001634	0.3513	   
HP:0001762	0.3513	   
HP:0000938	0.2702	   
HP:0000260	0.2432	   
HP:0000586	0.2432	   
HP:0000545	0.2307	   
HP:0000252	0.1621	   
HP:0002870	0.1621	   
HP:0000895	0.1621	   
HP:0003083	0.1351	   
HP:0009023	0.1351	   
HP:0005815	0.1351	   
HP:0000405	0.1351	   
HP:0002857	0.1081	   
HP:0003016	0.1081	   
HP:0002020	0.1081	   
HP:0000028	0.1081	   
[Disease]
OMIM:191100	TSC1
HP:0009716	0.95	   
HP:0000717	0.93	   
HP:0009720	0.85	   
HP:0009719	0.82	   
HP:0001249	0.53	   
HP:0006772	0.52	   
HP:0009729	0.5	   
HP:0001482	0.5	   
HP:0009554	0.5	   
HP:0009722	0.48	   
HP:0009724	0.32	   
HP:0009721	0.31	   
HP:0009727	0.13	   
HP:0009717	0.1	   
HP:0005584	0.05	   
[Disease]
OMIM:193700	MYH3
HP:0000346	1.0	   
HP:0002751	0.84	   
HP:0003273	0.73	   
HP:0001762	0.59	   
HP:0000252	0.44	   
HP:0000506	0.25	   
HP:0000490	0.25	   
HP:0000343	0.25	   
HP:0000486	0.25	   
HP:0000581	0.25	   
HP:0001838	0.25	   
HP:0000431	0.25	   
HP:0000430	0.25	   
HP:0003044	0.25	   
HP:0001181	0.25	   
HP:0000286	0.25	   
HP:0000023	0.25	   
HP:0001611	0.25	   
HP:0001250	0.19	   
HP:0002365	0.075	   
HP:0002365	0.075	   
HP:0003298	0.075	   
HP:0000508	0.075	   
HP:0000470	0.075	   
HP:0002827	0.075	   
HP:0001518	0.075	   
[Disease]
OMIM:216550	VPS13B
HP:0001249	1.0	   
HP:0001763	0.97	   
HP:0000252	0.9032	   
HP:0001182	0.78	   
HP:0001319	0.56	   
HP:0000545	0.5	   
HP:0000426	0.5	   
HP:0000444	0.5	   
HP:0000322	0.5	   
HP:0001135	0.5	   
HP:0000574	0.5	   
HP:0004283	0.5	   
HP:0000675	0.5	   
HP:0000494	0.5	   
HP:0000823	0.4	   
HP:0000505	0.35	   
HP:0001601	0.33	   
HP:0001518	0.33	   
[Disease]
OMIM:218600	RECQL4
HP:0003031	0.68	   
HP:0000368	0.64	   
HP:0001249	0.5	   
HP:0000160	0.32	   
HP:0000494	0.32	   
HP:0000426	0.32	   
HP:0004425	0.27	   
HP:0003298	0.075	   
HP:0000486	0.075	   
HP:0000405	0.075	   
HP:0002996	0.075	   
HP:0000175	0.075	   
HP:0000545	0.075	   
HP:0000193	0.075	   
HP:0000902	0.075	   
HP:0006467	0.075	   
HP:0002126	0.075	   
HP:0000238	0.075	   
HP:0000286	0.075	   
HP:0001250	0.075	   
HP:0005201	0.075	   
HP:0000452	0.075	   
HP:0003065	0.075	   
HP:0005792	0.075	   
HP:0000430	0.075	   
HP:0000648	0.075	   
HP:0001274	0.075	   
[Disease]
OMIM:225750	TREX1
HP:0002062	0.9855	   
HP:0009709	0.9393	   
HP:0002135	0.9275	   
HP:0009704	0.7846	   
HP:0002071	0.6086	   
HP:0001433	0.5652	   
HP:0000639	0.5238	   
HP:0002448	0.5	   
HP:0002421	0.5	   
HP:0001250	0.5	   
HP:0007321	0.5	   
HP:0001332	0.5	   
HP:0000486	0.2857	   
HP:0009710	0.2380	   
HP:0004394	0.1594	   
HP:0001945	0.1594	   
[Disease]
OMIM:235730	ZEB2
HP:0001250	0.9	   
HP:0000252	0.84	   
HP:0000307	0.5	   
HP:0005274	0.5	   
HP:0000494	0.5	   
HP:0000508	0.5	   
HP:0000490	0.5	   
HP:0002019	0.5	   
HP:0000316	0.5	   
HP:0000431	0.5	   
HP:0000378	0.5	   
HP:0000612	0.5	   
HP:0000565	0.5	   
HP:0001274	0.42	   
HP:0003720	0.33	   
HP:0000048	0.33	   
HP:0000028	0.33	   
HP:0000047	0.33	   
HP:0000176	0.075	   
[Disease]
OMIM:236670	POMT1
HP:0007260	1.0	   
HP:0007901	1.0	   
HP:0003741	1.0	   
HP:0002189	0.95	   
HP:0000238	0.53	   
HP:0000568	0.53	   
HP:0001305	0.53	   
HP:0002803	0.43	   
HP:0006891	0.25	   
HP:0000541	0.25	   
HP:0007973	0.25	   
HP:0001274	0.25	   
HP:0002079	0.25	   
HP:0006891	0.25	   
HP:0002085	0.24	   
HP:0000252	0.16	   
HP:0000413	0.075	   
HP:0000485	0.075	   
HP:0000110	0.075	   
[Disease]
OMIM:236680	HYLS1
HP:0006882	0.92	   
HP:0001561	0.92	   
HP:0000568	0.86	   
HP:0001162	0.77	   
HP:0009752	0.76	   
HP:0000377	0.7	   
HP:0002777	0.57	   
HP:0008749	0.57	   
HP:0000175	0.55	   
HP:0001762	0.52	   
HP:0001674	0.48	   
HP:0001629	0.48	   
HP:0000047	0.33	   
HP:0000136	0.33	   
HP:0000126	0.16	   
[Disease]
OMIM:243800	UBR1
HP:0002024	1.0	   
HP:0000430	1.0	   
HP:0002209	0.96	   
HP:0002236	0.96	   
HP:0006334	0.9	   
HP:0006349	0.9	   
HP:0001249	0.67	   
HP:0001545	0.4	   
HP:0000821	0.3	   
HP:0000126	0.25	   
HP:0001153	0.25	   
HP:0000126	0.25	   
HP:0000028	0.25	   
HP:0000054	0.25	   
HP:0000047	0.25	   
HP:0000143	0.18	   
HP:0000954	0.075	   
HP:0000819	0.075	   
HP:0002557	0.075	   
HP:0001362	0.075	   
HP:0000486	0.075	   
HP:0002253	0.075	   
HP:0003362	0.075	   
HP:0001696	0.075	   
HP:0000957	0.075	   
[Disease]
