DatabaseID	HPO_ID
OMIM:147060	HP:0002728
OMIM:147060	HP:0007099
OMIM:147060	HP:0000988
OMIM:601202	HP:0000006
OMIM:601202	HP:0001134
OMIM:601202	HP:0000646
OMIM:601202	HP:0011501
OMIM:618782	HP:0000006
OMIM:618782	HP:0005184
OMIM:618782	HP:0001662
OMIM:618782	HP:0011706
OMIM:618782	HP:0012266
OMIM:618782	HP:0011682
OMIM:618782	HP:0011648
OMIM:610687	HP:0001252
OMIM:610687	HP:0002194
OMIM:610687	HP:0003798
OMIM:610687	HP:0003789
OMIM:610687	HP:0000007
OMIM:610687	HP:0001324
OMIM:618481	HP:0000007
OMIM:618481	HP:0000407
OMIM:112500	HP:0000006
OMIM:112500	HP:0001032
OMIM:112500	HP:0001204
OMIM:112500	HP:0004322
OMIM:112500	HP:0010049
OMIM:112500	HP:0005194
OMIM:112500	HP:0009638
OMIM:112500	HP:0010107
OMIM:112500	HP:0009843
OMIM:112500	HP:0004209
OMIM:112500	HP:0010049
OMIM:112500	HP:0010194
OMIM:300582	HP:0001417
OMIM:300582	HP:0004322
OMIM:614293	HP:0000007
OMIM:614293	HP:0032192
OMIM:208920	HP:0000640
OMIM:208920	HP:0000657
OMIM:208920	HP:0100543
OMIM:208920	HP:0001272
OMIM:208920	HP:0000657
OMIM:208920	HP:0001761
OMIM:208920	HP:0002650
OMIM:208920	HP:0003073
OMIM:208920	HP:0003124
OMIM:208920	HP:0001251
OMIM:208920	HP:0001266
OMIM:208920	HP:0000764
OMIM:208920	HP:0003621
OMIM:208920	HP:0003674
OMIM:255700	HP:0010548
OMIM:255700	HP:0003552
OMIM:255700	HP:0002486
OMIM:255700	HP:0003740
OMIM:255700	HP:0011463
OMIM:255700	HP:0003326
OMIM:255700	HP:0003712
OMIM:615502	HP:0001631
OMIM:615502	HP:0000729
OMIM:615502	HP:0000006
OMIM:615502	HP:0000175
OMIM:615502	HP:0001680
OMIM:615502	HP:0000028
OMIM:615502	HP:0011968
OMIM:615502	HP:0001263
OMIM:615502	HP:0000540
OMIM:615502	HP:0001249
OMIM:615502	HP:0000252
OMIM:615502	HP:0001252
OMIM:615502	HP:0001643
OMIM:615502	HP:0000233
OMIM:615502	HP:0002119
OMIM:615502	HP:0002719
OMIM:615502	HP:0000160
OMIM:615502	HP:0000286
OMIM:615502	HP:0000316
OMIM:615502	HP:0000348
OMIM:615502	HP:0000527
OMIM:615502	HP:0000343
OMIM:615502	HP:0000368
OMIM:615502	HP:0011081
OMIM:615502	HP:0000954
OMIM:615502	HP:0000960
OMIM:607341	HP:0032051
OMIM:607341	HP:0007206
OMIM:270700	HP:0003693
OMIM:270700	HP:0002079
OMIM:270700	HP:0001258
OMIM:270700	HP:0000608
OMIM:270700	HP:0010550
OMIM:270700	HP:0000639
OMIM:270700	HP:0000546
OMIM:270700	HP:0003477
OMIM:604919	HP:0003764
OMIM:604919	HP:0012813
OMIM:604919	HP:0002650
OMIM:604919	HP:0002937
OMIM:604919	HP:0000891
OMIM:165500	HP:0000590
OMIM:165500	HP:0003701
OMIM:165500	HP:0001251
OMIM:165500	HP:0000666
OMIM:165500	HP:0000486
OMIM:611771	HP:0100820
OMIM:611771	HP:0000083
OMIM:611771	HP:0000093
OMIM:611771	HP:0012574
OMIM:614233	HP:0000006
OMIM:614233	HP:0000953
OMIM:607476	HP:0000007
OMIM:607476	HP:0000662
OMIM:607476	HP:0000505
OMIM:607476	HP:0007737
OMIM:607476	HP:0000551
OMIM:607476	HP:0000575
OMIM:607476	HP:0000556
OMIM:130050	HP:0031157
OMIM:172500	HP:0000408
OMIM:172500	HP:0002446
OMIM:172500	HP:0000666
OMIM:614173	HP:0000007
OMIM:614173	HP:0001320
OMIM:614173	HP:0002419
OMIM:613953	HP:0002728
OMIM:613953	HP:0000007
OMIM:613953	HP:0001581
OMIM:613953	HP:0002726
OMIM:613953	HP:0011370
OMIM:613953	HP:0031292
OMIM:613953	HP:0025084
OMIM:613953	HP:0011132
OMIM:613953	HP:0200039
OMIM:613953	HP:0000403
OMIM:613953	HP:0011108
OMIM:613953	HP:0002837
OMIM:613953	HP:0004332
OMIM:613953	HP:0031409
OMIM:610427	HP:0000007
OMIM:610427	HP:0007642
OMIM:610427	HP:0000505
OMIM:610427	HP:0000639
OMIM:610427	HP:0007984
OMIM:605588	HP:0003431
OMIM:190360	HP:0000535
OMIM:190360	HP:0000653
OMIM:190360	HP:0002209
OMIM:190360	HP:0002299
OMIM:190360	HP:0002217
OMIM:190360	HP:0011359
OMIM:190360	HP:0002208
OMIM:190360	HP:0002225
OMIM:190360	HP:0002215
OMIM:610265	HP:0000007
OMIM:610265	HP:0000407
OMIM:610265	HP:0001751
OMIM:610265	HP:0008619
OMIM:212138	HP:0001714
OMIM:611943	HP:0004322
OMIM:611943	HP:0002721
OMIM:611943	HP:0004315
OMIM:611943	HP:0011342
OMIM:611943	HP:0001999
OMIM:611943	HP:0011133
OMIM:611943	HP:0000007
OMIM:616126	HP:0000007
OMIM:616126	HP:0011274
OMIM:616126	HP:0002716
OMIM:616126	HP:0031691
OMIM:609265	HP:0003002
OMIM:609265	HP:0002858
OMIM:609265	HP:0012126
OMIM:609265	HP:0000006
OMIM:609265	HP:0009733
OMIM:609265	HP:0100242
OMIM:615273	HP:0100022
OMIM:615273	HP:0000522
OMIM:615273	HP:0000970
OMIM:615273	HP:0000007
OMIM:615273	HP:0007957
OMIM:615273	HP:0030978
OMIM:615273	HP:0025455
OMIM:615273	HP:0025458
OMIM:615273	HP:0003448
OMIM:615273	HP:0002910
OMIM:615273	HP:0001945
OMIM:615273	HP:0001263
OMIM:615273	HP:0002240
OMIM:615273	HP:0025460
OMIM:615273	HP:0000975
OMIM:615273	HP:0002487
OMIM:615273	HP:0000316
OMIM:615273	HP:0001265
OMIM:615273	HP:0008954
OMIM:615273	HP:0004305
OMIM:615273	HP:0000252
OMIM:615273	HP:0001252
OMIM:615273	HP:0200136
OMIM:615273	HP:0000939
OMIM:615273	HP:0012531
OMIM:615273	HP:0007021
OMIM:615273	HP:0009830
OMIM:615273	HP:0001271
OMIM:615273	HP:0000508
OMIM:615273	HP:0002205
OMIM:615273	HP:0002098
OMIM:615273	HP:0000711
